

** [alpha] Launch Training on 20230811_1027
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "plot": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "gpuIDs": "0,1,2,3",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 14,
  "optimizer": "Adam",
  "loss": "combined_loss",
  "early_stop": false,
  "lr_scheduling": "exp",
  "lr": 0.0008,
  "stepwise_scheduling": true,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230808_1942.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230808_1942.txt",
  "exp_comment": "* Updated Annotations are used\n* Updated consolidate DB used (20230808_1942 version) - Updated DB \n* 4 GPUs are used to train models\n* It's observed that initLr = 0.008 (stepwise) doesn't show good convergence. \n* So, new experiments on LR have been initiated. \n*   1st (0809_1052):    lr  0.004 : Doesn't seem to work\n*   2nd (0809_1202):    lr  0.001 \n* To improve the accuracy, we perform experiments on loss functions:\n*    We compare: dice loss only vs combined_loss (dice_loss (.7) + focal loss (.3) )\n*                For focal loss alpha of 0.25 and gamma of 2.0, lambda_weight of .3 are used \n*      lr (0810_1613) : 0.001\n*      lr (0810_1711): 0.0008\n*\n*      0811_1027: lambda_weight = .7\n",
  "numGPUs": 4,
  "finalEPOCH": 0,
  "isCompleted": false,
  "config": "Config/TRAIN_DLV3_ResNet50_NEWDB_20230808.yaml",
  "numTrainDB": 11830,
  "numEvalDB": 3600
}
@20230811_1029 @20230811_1029 [EP 1/500] lr: 0.0007867820095270872, took: 114.80s (avg: 114.80s), ETA: 0d:15h:48m:6s [TRAIN] loss: 0.1518, iou: 0.4487, f1: 0.5650 [EVAL] loss: 0.3218, iou: 0.0001, f1: 0.0002
@20230811_1042 @20230811_1042 [EP 12/500] lr: 0.000665291678160429, took: 61.56s (avg: 61.56s), ETA: 0d:8h:16m:8s [TRAIN] loss: 0.0416, iou: 0.8581, f1: 0.9233 [EVAL] loss: 0.0714, iou: 0.7029, f1: 0.8237
@20230811_1043 @20230811_1043 [EP 13/500] lr: 0.0006560818874277174, took: 61.64s (avg: 61.64s), ETA: 0d:8h:15m:7s [TRAIN] loss: 0.0410, iou: 0.8615, f1: 0.9253 [EVAL] loss: 0.1047, iou: 0.5602, f1: 0.7146
@20230811_1044 @20230811_1044 [EP 14/500] lr: 0.0006471234955824912, took: 61.62s (avg: 61.62s), ETA: 0d:8h:14m:6s [TRAIN] loss: 0.0397, iou: 0.8685, f1: 0.9294 [EVAL] loss: 0.0799, iou: 0.6635, f1: 0.7957
@20230811_1045 @20230811_1045 [EP 15/500] lr: 0.0006384065491147339, took: 61.63s (avg: 61.63s), ETA: 0d:8h:13m:5s [TRAIN] loss: 0.0395, iou: 0.8700, f1: 0.9303 [EVAL] loss: 0.0706, iou: 0.7056, f1: 0.8260
@20230811_1046 @20230811_1046 [EP 16/500] lr: 0.0006299212691374123, took: 61.93s (avg: 61.93s), ETA: 0d:8h:12m:4s [TRAIN] loss: 0.0382, iou: 0.8769, f1: 0.9342 [EVAL] loss: 0.0548, iou: 0.7833, f1: 0.8778
@20230811_1048 @20230811_1048 [EP 17/500] lr: 0.0006216585752554238, took: 61.85s (avg: 61.85s), ETA: 0d:8h:11m:3s [TRAIN] loss: 0.0375, iou: 0.8810, f1: 0.9366 [EVAL] loss: 0.0734, iou: 0.6931, f1: 0.8170
@20230811_1049 @20230811_1049 [EP 18/500] lr: 0.0006136098527349532, took: 61.87s (avg: 61.87s), ETA: 0d:8h:10m:2s [TRAIN] loss: 0.0379, iou: 0.8792, f1: 0.9355 [EVAL] loss: 0.0880, iou: 0.6287, f1: 0.7693
@20230811_1050 @20230811_1050 [EP 19/500] lr: 0.0006057668360881507, took: 61.71s (avg: 61.71s), ETA: 0d:8h:9m:1s [TRAIN] loss: 0.0382, iou: 0.8773, f1: 0.9344 [EVAL] loss: 0.1120, iou: 0.5324, f1: 0.6911
@20230811_1051 @20230811_1051 [EP 20/500] lr: 0.0005981219001114368, took: 61.97s (avg: 61.97s), ETA: 0d:8h:8m:0s [TRAIN] loss: 0.0373, iou: 0.8824, f1: 0.9373 [EVAL] loss: 0.0798, iou: 0.6641, f1: 0.7964
@20230811_1052 @20230811_1052 [EP 21/500] lr: 0.0005906674196012318, took: 61.73s (avg: 61.73s), ETA: 0d:8h:6m:59s [TRAIN] loss: 0.0368, iou: 0.8854, f1: 0.9391 [EVAL] loss: 0.0475, iou: 0.8223, f1: 0.9020
@20230811_1053 @20230811_1053 [EP 22/500] lr: 0.0005833965260535479, took: 61.71s (avg: 61.71s), ETA: 0d:8h:5m:58s [TRAIN] loss: 0.0382, iou: 0.8775, f1: 0.9346 [EVAL] loss: 0.0566, iou: 0.7746, f1: 0.8722
@20230811_1054 @20230811_1054 [EP 23/500] lr: 0.0005763024091720581, took: 61.87s (avg: 61.87s), ETA: 0d:8h:4m:57s [TRAIN] loss: 0.0382, iou: 0.8771, f1: 0.9343 [EVAL] loss: 0.0747, iou: 0.6866, f1: 0.8125
@20230811_1055 @20230811_1055 [EP 24/500] lr: 0.0005693787825293839, took: 61.77s (avg: 61.77s), ETA: 0d:8h:3m:56s [TRAIN] loss: 0.0372, iou: 0.8829, f1: 0.9376 [EVAL] loss: 0.0760, iou: 0.6815, f1: 0.8087
@20230811_1056 @20230811_1056 [EP 25/500] lr: 0.0005626195343211293, took: 61.75s (avg: 61.75s), ETA: 0d:8h:2m:55s [TRAIN] loss: 0.0368, iou: 0.8855, f1: 0.9391 [EVAL] loss: 0.0637, iou: 0.7391, f1: 0.8488
@20230811_1057 @20230811_1057 [EP 26/500] lr: 0.000556018843781203, took: 61.78s (avg: 61.78s), ETA: 0d:8h:1m:54s [TRAIN] loss: 0.0361, iou: 0.8891, f1: 0.9411 [EVAL] loss: 0.0777, iou: 0.6723, f1: 0.8027
@20230811_1058 @20230811_1058 [EP 27/500] lr: 0.0005495712975971401, took: 61.69s (avg: 61.69s), ETA: 0d:8h:0m:53s [TRAIN] loss: 0.0353, iou: 0.8939, f1: 0.9438 [EVAL] loss: 0.0677, iou: 0.7192, f1: 0.8357
@20230811_1059 @20230811_1059 [EP 28/500] lr: 0.0005432715406641364, took: 61.65s (avg: 61.65s), ETA: 0d:7h:59m:52s [TRAIN] loss: 0.0345, iou: 0.8985, f1: 0.9464 [EVAL] loss: 0.0587, iou: 0.7630, f1: 0.8648
@20230811_1100 @20230811_1100 [EP 29/500] lr: 0.0005371146253310144, took: 61.64s (avg: 61.64s), ETA: 0d:7h:58m:51s [TRAIN] loss: 0.0344, iou: 0.8991, f1: 0.9468 [EVAL] loss: 0.0572, iou: 0.7710, f1: 0.8700
@20230811_1102 @20230811_1102 [EP 30/500] lr: 0.0005310956621542573, took: 61.71s (avg: 61.71s), ETA: 0d:7h:57m:50s [TRAIN] loss: 0.0347, iou: 0.8976, f1: 0.9459 [EVAL] loss: 0.0568, iou: 0.7736, f1: 0.8714
@20230811_1103 @20230811_1103 [EP 31/500] lr: 0.000525210052728653, took: 61.71s (avg: 61.71s), ETA: 0d:7h:56m:49s [TRAIN] loss: 0.0352, iou: 0.8944, f1: 0.9441 [EVAL] loss: 0.0606, iou: 0.7546, f1: 0.8592
@20230811_1104 @20230811_1104 [EP 32/500] lr: 0.0005194534896872938, took: 61.60s (avg: 61.60s), ETA: 0d:7h:55m:48s [TRAIN] loss: 0.0363, iou: 0.8883, f1: 0.9407 [EVAL] loss: 0.0730, iou: 0.6949, f1: 0.8185
@20230811_1105 @20230811_1105 [EP 33/500] lr: 0.000513821782078594, took: 61.68s (avg: 61.68s), ETA: 0d:7h:54m:47s [TRAIN] loss: 0.0356, iou: 0.8922, f1: 0.9429 [EVAL] loss: 0.0543, iou: 0.7882, f1: 0.8802
@20230811_1106 @20230811_1106 [EP 34/500] lr: 0.0005083108553662896, took: 61.60s (avg: 61.60s), ETA: 0d:7h:53m:46s [TRAIN] loss: 0.0345, iou: 0.8982, f1: 0.9463 [EVAL] loss: 0.0467, iou: 0.8263, f1: 0.9044
@20230811_1107 @20230811_1107 [EP 35/500] lr: 0.0005029168678447604, took: 62.67s (avg: 62.67s), ETA: 0d:8h:0m:30s [TRAIN] loss: 0.0337, iou: 0.9033, f1: 0.9491 [EVAL] loss: 0.0437, iou: 0.8442, f1: 0.9151
@20230811_1108 @20230811_1108 [EP 36/500] lr: 0.0004976362106390297, took: 61.73s (avg: 61.73s), ETA: 0d:7h:51m:44s [TRAIN] loss: 0.0332, iou: 0.9058, f1: 0.9505 [EVAL] loss: 0.0518, iou: 0.7992, f1: 0.8878
@20230811_1109 @20230811_1109 [EP 37/500] lr: 0.000492465274874121, took: 61.70s (avg: 61.70s), ETA: 0d:7h:50m:43s [TRAIN] loss: 0.0332, iou: 0.9059, f1: 0.9505 [EVAL] loss: 0.0432, iou: 0.8467, f1: 0.9166
@20230811_1111 @20230811_1111 [EP 38/500] lr: 0.0004874006554018706, took: 61.77s (avg: 61.77s), ETA: 0d:7h:49m:42s [TRAIN] loss: 0.0332, iou: 0.9060, f1: 0.9506 [EVAL] loss: 0.0435, iou: 0.8452, f1: 0.9157
@20230811_1112 @20230811_1112 [EP 39/500] lr: 0.00048243917990475893, took: 61.82s (avg: 61.82s), ETA: 0d:7h:48m:41s [TRAIN] loss: 0.0329, iou: 0.9078, f1: 0.9516 [EVAL] loss: 0.0465, iou: 0.8284, f1: 0.9058
@20230811_1113 @20230811_1113 [EP 40/500] lr: 0.00047757767606526613, took: 61.79s (avg: 61.79s), ETA: 0d:7h:47m:40s [TRAIN] loss: 0.0332, iou: 0.9061, f1: 0.9506 [EVAL] loss: 0.0435, iou: 0.8452, f1: 0.9157
@20230811_1114 @20230811_1114 [EP 41/500] lr: 0.0004728132043965161, took: 61.78s (avg: 61.78s), ETA: 0d:7h:46m:39s [TRAIN] loss: 0.0336, iou: 0.9037, f1: 0.9493 [EVAL] loss: 0.0454, iou: 0.8340, f1: 0.9091
@20230811_1115 @20230811_1115 [EP 42/500] lr: 0.0004681428545154631, took: 61.73s (avg: 61.73s), ETA: 0d:7h:45m:38s [TRAIN] loss: 0.0335, iou: 0.9045, f1: 0.9498 [EVAL] loss: 0.0510, iou: 0.8031, f1: 0.8903
@20230811_1116 @20230811_1116 [EP 43/500] lr: 0.00046356386155821383, took: 61.72s (avg: 61.72s), ETA: 0d:7h:44m:37s [TRAIN] loss: 0.0334, iou: 0.9048, f1: 0.9499 [EVAL] loss: 0.0574, iou: 0.7700, f1: 0.8694
@20230811_1117 @20230811_1117 [EP 44/500] lr: 0.00045907357707619667, took: 61.95s (avg: 61.95s), ETA: 0d:7h:43m:36s [TRAIN] loss: 0.0332, iou: 0.9064, f1: 0.9508 [EVAL] loss: 0.0488, iou: 0.8156, f1: 0.8979
@20230811_1118 @20230811_1118 [EP 45/500] lr: 0.00045466943993233144, took: 61.83s (avg: 61.83s), ETA: 0d:7h:42m:35s [TRAIN] loss: 0.0327, iou: 0.9087, f1: 0.9521 [EVAL] loss: 0.0507, iou: 0.8048, f1: 0.8913
@20230811_1119 @20230811_1119 [EP 46/500] lr: 0.0004503489763010293, took: 61.78s (avg: 61.78s), ETA: 0d:7h:41m:34s [TRAIN] loss: 0.0327, iou: 0.9088, f1: 0.9521 [EVAL] loss: 0.0890, iou: 0.6257, f1: 0.7671
@20230811_1120 @20230811_1120 [EP 47/500] lr: 0.00044610988697968423, took: 61.92s (avg: 61.92s), ETA: 0d:7h:40m:33s [TRAIN] loss: 0.0326, iou: 0.9093, f1: 0.9524 [EVAL] loss: 0.0771, iou: 0.6778, f1: 0.8057
@20230811_1121 @20230811_1121 [EP 48/500] lr: 0.0004419498727656901, took: 61.84s (avg: 61.84s), ETA: 0d:7h:39m:32s [TRAIN] loss: 0.0327, iou: 0.9092, f1: 0.9524 [EVAL] loss: 0.0613, iou: 0.7512, f1: 0.8570
@20230811_1122 @20230811_1122 [EP 49/500] lr: 0.0004378666926641017, took: 61.83s (avg: 61.83s), ETA: 0d:7h:38m:31s [TRAIN] loss: 0.0326, iou: 0.9094, f1: 0.9525 [EVAL] loss: 0.0423, iou: 0.8513, f1: 0.9194
@20230811_1124 @20230811_1124 [EP 50/500] lr: 0.0004338582803029567, took: 61.94s (avg: 61.94s), ETA: 0d:7h:37m:30s [TRAIN] loss: 0.0323, iou: 0.9112, f1: 0.9534 [EVAL] loss: 0.0477, iou: 0.8222, f1: 0.9019
@20230811_1125 @20230811_1125 [EP 51/500] lr: 0.00042992259841412306, took: 61.78s (avg: 61.78s), ETA: 0d:7h:36m:29s [TRAIN] loss: 0.0323, iou: 0.9116, f1: 0.9537 [EVAL] loss: 0.0437, iou: 0.8438, f1: 0.9149
@20230811_1126 @20230811_1126 [EP 52/500] lr: 0.00042605766793712974, took: 61.79s (avg: 61.79s), ETA: 0d:7h:35m:28s [TRAIN] loss: 0.0321, iou: 0.9125, f1: 0.9542 [EVAL] loss: 0.0507, iou: 0.8057, f1: 0.8917
@20230811_1127 @20230811_1127 [EP 53/500] lr: 0.00042226159712299705, took: 61.73s (avg: 61.73s), ETA: 0d:7h:34m:27s [TRAIN] loss: 0.0317, iou: 0.9150, f1: 0.9555 [EVAL] loss: 0.0586, iou: 0.7651, f1: 0.8659
@20230811_1128 @20230811_1128 [EP 54/500] lr: 0.00041853258153423667, took: 61.77s (avg: 61.77s), ETA: 0d:7h:33m:26s [TRAIN] loss: 0.0313, iou: 0.9174, f1: 0.9569 [EVAL] loss: 0.0602, iou: 0.7562, f1: 0.8603
@20230811_1129 @20230811_1129 [EP 55/500] lr: 0.0004148688749410212, took: 61.79s (avg: 61.79s), ETA: 0d:7h:32m:25s [TRAIN] loss: 0.0312, iou: 0.9180, f1: 0.9572 [EVAL] loss: 0.0477, iou: 0.8212, f1: 0.9013
@20230811_1130 @20230811_1130 [EP 56/500] lr: 0.00041126873111352324, took: 61.75s (avg: 61.75s), ETA: 0d:7h:31m:24s [TRAIN] loss: 0.0311, iou: 0.9182, f1: 0.9573 [EVAL] loss: 0.0454, iou: 0.8344, f1: 0.9093
@20230811_1131 @20230811_1131 [EP 57/500] lr: 0.00040773054934106767, took: 61.69s (avg: 61.69s), ETA: 0d:7h:30m:23s [TRAIN] loss: 0.0312, iou: 0.9179, f1: 0.9571 [EVAL] loss: 0.0544, iou: 0.7881, f1: 0.8806
@20230811_1132 @20230811_1132 [EP 58/500] lr: 0.00040425272891297936, took: 61.69s (avg: 61.69s), ETA: 0d:7h:29m:22s [TRAIN] loss: 0.0310, iou: 0.9188, f1: 0.9576 [EVAL] loss: 0.0575, iou: 0.7722, f1: 0.8701
@20230811_1133 @20230811_1133 [EP 59/500] lr: 0.00040083369822241366, took: 61.74s (avg: 61.74s), ETA: 0d:7h:28m:21s [TRAIN] loss: 0.0309, iou: 0.9193, f1: 0.9579 [EVAL] loss: 0.0465, iou: 0.8281, f1: 0.9056
@20230811_1134 @20230811_1134 [EP 60/500] lr: 0.00039747206028550863, took: 61.66s (avg: 61.66s), ETA: 0d:7h:27m:20s [TRAIN] loss: 0.0310, iou: 0.9191, f1: 0.9578 [EVAL] loss: 0.0477, iou: 0.8211, f1: 0.9012
@20230811_1135 @20230811_1135 [EP 61/500] lr: 0.00039416630170308053, took: 61.51s (avg: 61.51s), ETA: 0d:7h:26m:19s [TRAIN] loss: 0.0312, iou: 0.9181, f1: 0.9572 [EVAL] loss: 0.0461, iou: 0.8304, f1: 0.9069
@20230811_1136 @20230811_1136 [EP 62/500] lr: 0.00039091508369892836, took: 61.62s (avg: 61.62s), ETA: 0d:7h:25m:18s [TRAIN] loss: 0.0313, iou: 0.9170, f1: 0.9566 [EVAL] loss: 0.0490, iou: 0.8147, f1: 0.8974
@20230811_1137 @20230811_1137 [EP 63/500] lr: 0.0003877170674968511, took: 61.54s (avg: 61.54s), ETA: 0d:7h:24m:17s [TRAIN] loss: 0.0313, iou: 0.9176, f1: 0.9569 [EVAL] loss: 0.0488, iou: 0.8159, f1: 0.8980
@20230811_1138 @20230811_1138 [EP 64/500] lr: 0.0003845709434244782, took: 61.68s (avg: 61.68s), ETA: 0d:7h:23m:16s [TRAIN] loss: 0.0305, iou: 0.9217, f1: 0.9592 [EVAL] loss: 0.0473, iou: 0.8232, f1: 0.9026
@20230811_1139 @20230811_1139 [EP 65/500] lr: 0.0003814755182247609, took: 61.54s (avg: 61.54s), ETA: 0d:7h:22m:15s [TRAIN] loss: 0.0301, iou: 0.9244, f1: 0.9606 [EVAL] loss: 0.0581, iou: 0.7676, f1: 0.8676
@20230811_1140 @20230811_1140 [EP 66/500] lr: 0.0003784294822253287, took: 61.56s (avg: 61.56s), ETA: 0d:7h:21m:14s [TRAIN] loss: 0.0300, iou: 0.9252, f1: 0.9611 [EVAL] loss: 0.0653, iou: 0.7317, f1: 0.8439
@20230811_1141 @20230811_1141 [EP 67/500] lr: 0.0003754317294806242, took: 61.59s (avg: 61.59s), ETA: 0d:7h:20m:13s [TRAIN] loss: 0.0298, iou: 0.9259, f1: 0.9615 [EVAL] loss: 0.0660, iou: 0.7290, f1: 0.8420
@20230811_1143 @20230811_1143 [EP 68/500] lr: 0.00037248109583742917, took: 61.53s (avg: 61.53s), ETA: 0d:7h:19m:12s [TRAIN] loss: 0.0300, iou: 0.9251, f1: 0.9610 [EVAL] loss: 0.0703, iou: 0.7097, f1: 0.8285
@20230811_1144 @20230811_1144 [EP 69/500] lr: 0.00036957647535018623, took: 61.77s (avg: 61.77s), ETA: 0d:7h:18m:11s [TRAIN] loss: 0.0303, iou: 0.9229, f1: 0.9599 [EVAL] loss: 0.0566, iou: 0.7780, f1: 0.8745
@20230811_1145 @20230811_1145 [EP 70/500] lr: 0.0003667167911771685, took: 61.77s (avg: 61.77s), ETA: 0d:7h:17m:10s [TRAIN] loss: 0.0304, iou: 0.9227, f1: 0.9597 [EVAL] loss: 0.0436, iou: 0.8448, f1: 0.9155
@20230811_1146 @20230811_1146 [EP 71/500] lr: 0.0003639009955804795, took: 61.95s (avg: 61.95s), ETA: 0d:7h:16m:9s [TRAIN] loss: 0.0302, iou: 0.9238, f1: 0.9603 [EVAL] loss: 0.0433, iou: 0.8459, f1: 0.9161
@20230811_1147 @20230811_1147 [EP 72/500] lr: 0.00036112815723754466, took: 61.77s (avg: 61.77s), ETA: 0d:7h:15m:8s [TRAIN] loss: 0.0300, iou: 0.9249, f1: 0.9609 [EVAL] loss: 0.0511, iou: 0.8032, f1: 0.8903
@20230811_1148 @20230811_1148 [EP 73/500] lr: 0.0003583972284104675, took: 61.75s (avg: 61.75s), ETA: 0d:7h:14m:7s [TRAIN] loss: 0.0298, iou: 0.9262, f1: 0.9616 [EVAL] loss: 0.0511, iou: 0.8042, f1: 0.8909
@20230811_1149 @20230811_1149 [EP 74/500] lr: 0.0003557073068805039, took: 61.81s (avg: 61.81s), ETA: 0d:7h:13m:6s [TRAIN] loss: 0.0296, iou: 0.9276, f1: 0.9624 [EVAL] loss: 0.0517, iou: 0.8015, f1: 0.8891
@20230811_1150 @20230811_1150 [EP 75/500] lr: 0.00035305743222124875, took: 61.72s (avg: 61.72s), ETA: 0d:7h:12m:5s [TRAIN] loss: 0.0296, iou: 0.9273, f1: 0.9622 [EVAL] loss: 0.0588, iou: 0.7672, f1: 0.8672
@20230811_1151 @20230811_1151 [EP 76/500] lr: 0.0003504467895254493, took: 61.83s (avg: 61.83s), ETA: 0d:7h:11m:4s [TRAIN] loss: 0.0296, iou: 0.9271, f1: 0.9621 [EVAL] loss: 0.0659, iou: 0.7306, f1: 0.8428
@20230811_1152 @20230811_1152 [EP 77/500] lr: 0.00034787444747053087, took: 61.72s (avg: 61.72s), ETA: 0d:7h:10m:3s [TRAIN] loss: 0.0296, iou: 0.9272, f1: 0.9622 [EVAL] loss: 0.0555, iou: 0.7820, f1: 0.8769
@20230811_1153 @20230811_1153 [EP 78/500] lr: 0.0003453396202530712, took: 61.75s (avg: 61.75s), ETA: 0d:7h:9m:2s [TRAIN] loss: 0.0294, iou: 0.9287, f1: 0.9630 [EVAL] loss: 0.0436, iou: 0.8440, f1: 0.9151
@20230811_1154 @20230811_1154 [EP 79/500] lr: 0.000342841463861987, took: 61.66s (avg: 61.66s), ETA: 0d:7h:8m:1s [TRAIN] loss: 0.0295, iou: 0.9282, f1: 0.9627 [EVAL] loss: 0.0541, iou: 0.7879, f1: 0.8806
@20230811_1155 @20230811_1155 [EP 80/500] lr: 0.0003403791633900255, took: 61.72s (avg: 61.72s), ETA: 0d:7h:7m:0s [TRAIN] loss: 0.0297, iou: 0.9266, f1: 0.9619 [EVAL] loss: 0.0522, iou: 0.7973, f1: 0.8866
@20230811_1156 @20230811_1156 [EP 81/500] lr: 0.0003379519912414253, took: 61.79s (avg: 61.79s), ETA: 0d:7h:5m:59s [TRAIN] loss: 0.0299, iou: 0.9256, f1: 0.9613 [EVAL] loss: 0.0495, iou: 0.8123, f1: 0.8959
@20230811_1157 @20230811_1157 [EP 82/500] lr: 0.0003355592198204249, took: 61.70s (avg: 61.70s), ETA: 0d:7h:4m:58s [TRAIN] loss: 0.0297, iou: 0.9267, f1: 0.9619 [EVAL] loss: 0.0434, iou: 0.8457, f1: 0.9161
@20230811_1158 @20230811_1158 [EP 83/500] lr: 0.0003332000633236021, took: 61.53s (avg: 61.53s), ETA: 0d:7h:3m:57s [TRAIN] loss: 0.0293, iou: 0.9292, f1: 0.9633 [EVAL] loss: 0.0471, iou: 0.8270, f1: 0.9048
@20230811_1159 @20230811_1159 [EP 84/500] lr: 0.0003308738232590258, took: 61.58s (avg: 61.58s), ETA: 0d:7h:2m:56s [TRAIN] loss: 0.0290, iou: 0.9312, f1: 0.9643 [EVAL] loss: 0.0543, iou: 0.7881, f1: 0.8808
@20230811_1200 @20230811_1200 [EP 85/500] lr: 0.00032857985934242606, took: 61.61s (avg: 61.61s), ETA: 0d:7h:1m:55s [TRAIN] loss: 0.0288, iou: 0.9321, f1: 0.9648 [EVAL] loss: 0.0562, iou: 0.7772, f1: 0.8738
@20230811_1201 @20230811_1201 [EP 86/500] lr: 0.0003263175021857023, took: 61.53s (avg: 61.53s), ETA: 0d:7h:0m:54s [TRAIN] loss: 0.0287, iou: 0.9326, f1: 0.9651 [EVAL] loss: 0.0549, iou: 0.7844, f1: 0.8784
@20230811_1203 @20230811_1203 [EP 87/500] lr: 0.00032408605329692364, took: 61.63s (avg: 61.63s), ETA: 0d:6h:59m:53s [TRAIN] loss: 0.0289, iou: 0.9317, f1: 0.9646 [EVAL] loss: 0.0445, iou: 0.8399, f1: 0.9127
